"Accession","Plant.","Bench","Row","Column","Osmocote","Salt","Treatment","Plant..1","Bench.","Tray","TPlant.","TRow","TColumn","Plate","Accession.","Transplant_Date","exp","Numlvs_0511_tot.not.including.cotyledons","Numlvs_0511_fullyexpanded.not.including.cotyledons","Notes_0511","Status_0515","status_0518...","exclude.from.analyses.","NumLvs_053118","Num_FullyExpaneded_Lvs_053118","Notes_053118","SLA.biomass","Aboveground.biomass","Belowground.biomass","RNA.leaf.biomass","X2.RNA.bags..weight.of.2nd","PlantDied","Notes","Root.Date","X","Include","Survival","Tot_AG","Tot_BG","Tot_Biomass","mold","ln_AG","ln_BG","ln_Tot","X.1","RNASeqExp","X.2","Plant..2","TissueBox.","Date_ground","Date_RNA_extracted","SeqPlate","SeqPlateRow","SeqPlateColumn","GGBC.RIN","My_RIN","X.3","ReproStageSampled","Reproductive","SampleDay","SampleNotes","X.4","MisIDed","Chlorophyll","Hybrid_set","Hybrid_role","Species","init.weight","RNA.leaf.biomass_full","Tot_biomass2","growdays","RGR"
"445/373",127,2,2,"D","High","Salt","HighSalt",127,56,6,380,"B",8,4,23,"5/1/18",1,"4",2,"","","","",15,8,"",0.2914,2.4101,0.3418,0.1677,"","","","20-Jun","","y",1,2.9929,0.3418,3.3347,"n",1.096242817,-1.073529508,1.20438272,NA,"y",NA,127,"2","17-Jul","10/30/18","1","D",5,7.3,"8.3",NA,"","no",2,"","","",21.3,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.3354,3.3787,32,0.125572331918169
"445/373",153,3,10,"A","Low","Salt","Combo",153,10,8,520,"B",4,5,31,"5/1/18",1,"4",2,"","","","",14,8,"",0.2602,1.7936,0.5771,0.2143,"","","Mold","21-Jun","","y",1,2.314,0.5771,2.8911,"y",0.838977629,-0.549739717,1.061637053,NA,"y",NA,153,"1","11-Jul","10/29/18","1","E",5,7.8,"8.6",NA,"","no",2,"","","Grouped with HA 445",18.6,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.4286,3.0595,32,0.122471097036719
"445/373",280,4,11,"D","Low","NoSalt","LowNut",280,65,6,427,"F",7,2,25,"5/1/18",1,"2",1,"","","","",14,8,"",0.1571,NA,0.4713,0.2251,"","","Mold","","","y",1,NA,0.4713,NA,"y",NA,-0.752260445,NA,NA,"y",NA,280,"1","17-Jul","10/30/18","1","G",6,7.4,"7.8",NA,"","no",2,"","","",13.7,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.4502,NA,32,NA
"445/373",260,4,9,"C","High","Salt","HighSalt",260,45,3,203,"E",11,2,12,"4/30/18",1,"3",3,"","","","",16,8,"",0.229,1.2844,0.3774,0.1684,"","","Mold","","","y",1,1.7424,0.3774,2.1198,"y",0.555263473,-0.974449646,0.751321745,NA,"y",NA,260,"1","13-Jul","10/30/18","1","G",2,7.5,"8.3",NA,"","no",2,"","","",22.2,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.3368,2.2276,33,0.109143890120847
"445/373",46,1,10,"C","Low","Salt","Combo",46,46,1,71,"F",11,3,6,"4/30/18",1,"2",2,"","","","",13,8,"",0.1125,0.5207,0.1436,0.1066,"","","Mold","","","y",1,0.7457,0.1436,0.8893,"y",-0.293431904,-1.940723622,-0.117320643,NA,"y",NA,46,"5","20-Jul","10/12/18","2","B",8,7.8,"8.6",NA,"R1","yes",1,"","","",20,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.2132,0.99,33,0.0845688868303353
"445/373",202,3,5,"D","Low","Salt","Combo",202,59,7,464,"C",8,3,28,"5/1/18",1,"4",2,"","","","",NA,NA,"",0.312,3.1003,NA,0.2211,"","","Shelf Fall","","","y",1,3.7243,NA,NA,"n",1.314878915,NA,NA,NA,"y",NA,202,"6","","3/8/19","3","E",2,7.6,"6.8",NA,"","no",2,"","","",18.5,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.4422,NA,32,NA
"445/373",324,5,4,"C","High","Salt","HighSalt",324,40,2,139,"F",7,1,9,"4/30/18",1,"2",2,"","","","",13,6,"",0.1549,0.7081,0.1754,0.1047,"","","","","","y",1,1.0179,0.1754,1.1933,"n",0.017741681,-1.740686199,0.176722578,NA,"y",NA,324,"9","10/29/18","11/19/18","2","H",4,7.1,"8.3",NA,"","no",1,"","","",24.9,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.2094,1.2478,33,0.0915819879378519
"445/373",264,4,13,"C","Low","NoSalt","LowNut",264,49,3,209,"F",5,2,13,"4/30/18",1,"2",2,"","","","",14,8,"",0.2443,2.3792,1.1544,0.2351,"","","Mold","","","y",1,2.8678,1.1544,4.0222,"y",1.053545185,0.143580728,1.391829017,NA,"y",NA,264,"11","1/9/19","3/5/19","3","F",7,7.6,"7.2",NA,"","no",1,"","","",14.4,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.4702,4.2481,33,0.128705921982023
"445/373",126,2,1,"D","Low","Salt","Combo",126,55,6,378,"B",6,4,22,"5/1/18",1,"2",2,"","","","",11,6,"",0.2135,1.4312,0.3193,0.0977,"","","","","","y",1,1.8582,0.3193,2.1775,"n",0.619608277,-1.141624179,0.77817743,NA,"y",NA,126,"10","11/9/18","11/30/18","2","D",5,7.9,"8.3",NA,"","no",2,"","","",18.3,"HA445/RHA373","Hybrid","Cultivated",0.06076,0.1954,2.1594,32,0.111582937705796
"ANN-1749",130,2,5,"D","High","Salt","HighSalt",130,59,6,387,"C",3,15,13,"5/1/18",1,"4",2,"","","","",10,6,"",0.1366,0.6069,0.0839,0.0348,"","","","19-Jun","","y",1,0.8801,0.0839,0.964,"n",-0.127719742,-2.478129666,-0.036663984,NA,"y",NA,130,"12","1/29/19","2/22/19","3","B",12,7.8,"8.3",NA,"","no",2,"midvein","","",15.3,"","","Wild Annuus",0.01305,0.0696,0.897,32,0.132195866509065
"ANN-1749",293,5,9,"A","High","Salt","HighSalt",293,9,2,86,"B",2,16,4,"4/30/18",1,"4",2,"","","","",13,8,"",0.13,0.4105,0.1237,0.0967,"","","Mold","","","y",1,0.6705,0.1237,0.7942,"y",-0.399731576,-2.089896,-0.23041996,NA,"y",NA,293,"3","18-Jul","10/30/18","2","G",5,7.7,"8.4",NA,"","no",1,"","","",19.2,"","","Wild Annuus",0.01305,0.1934,0.8576,33,0.126828777471147
"ANN-1749",145,3,2,"A","High","NoSalt","Control",145,2,8,507,"A",3,11,20,"5/1/18",1,"4",2,"","","","",16,10,"",0.7612,7.1172,1.077,0.4633,"","","","","","y",1,8.6396,1.077,9.7166,"n",2.156356285,0.074179398,2.273835763,NA,"y",NA,145,"1","13-Jul","10/17/18","1","E",3,7.4,"8.4",NA,"","no",2,"","","",18.8,"","","Wild Annuus",0.01305,0.9266,9.882,32,0.207177564551156
